title = "boundary data"
variables = "x","y","rho","u","v","p"
 zone t=slip_wall I=          81  F=POINT
 -0.32472402417000001      -0.32472402417000001       0.95345083577933654       0.31955376131847912       0.27748033293358138       0.66825568592011708     
 -0.29389262615000000      -0.29389262615000000       0.93941811924969787       0.36450258687177900       0.27252868069030972       0.65455039929434133     
 -0.26124928236000000      -0.26124928236000000       0.92554309118552169       0.40858073057763961       0.26088790285355029       0.64108393613993098     
 -0.22699524987000000      -0.22699524987000000       0.91218185330724866       0.45065268379755169       0.24263904049868576       0.62819737359721695     
 -0.19134171618000001      -0.19134171618000001       0.89971271986471801       0.48954874768361051       0.21803673890383868       0.61624510181842174     
 -0.15450849719000001      -0.15450849719000001       0.88852513205884021       0.52409775718579732       0.18752837329810076       0.60558465149534280     
 -0.11672268193000000      -0.11672268193000000       0.87899827553843368       0.55318406502440798       0.15177089510427152       0.59655780179978324     
  -7.8217232519999999E-002  -7.8217232519999999E-002  0.87145316298112308       0.57583877191379917       0.11160776438855757       0.58944759373751276     
  -3.9229547864000000E-002  -3.9229547864000000E-002  0.86629193651640257       0.59137604517683184        6.8135146082777223E-002  0.58461554723456333     
   0.0000000000000000        0.0000000000000000       0.86423673731853967       0.59817077625862991        1.1021255298501339E-002  0.58270784273994725     
   3.9229547864000000E-002   3.9229547864000000E-002  0.86461067238823797       0.59427719154197378       -4.5296407250964683E-002  0.58307783963485582     
   7.8217232519999999E-002   7.8217232519999999E-002  0.87027934530648909       0.57849034091928708       -8.7794151786889596E-002  0.58845709137130597     
  0.11672268193000000       0.11672268193000000       0.87766266333738086       0.55550522809570269      -0.12744706855112428       0.59548527497890469     
  0.15450849719000001       0.15450849719000001       0.88731711680018899       0.52538529414929391      -0.16259786575002536       0.60470686968420295     
  0.19134171618000001       0.19134171618000001       0.89879454491405875       0.48918041886337121      -0.19218286921553671       0.61572091272479346     
  0.22699524987000000       0.22699524987000000       0.91173407102524739       0.44794612904302472      -0.21525371824334652       0.62820692088829067     
  0.26124928236000000       0.26124928236000000       0.92571903187016191       0.40286332882372067      -0.23105591996696095       0.64178568964397964     
  0.29389262615000000       0.29389262615000000       0.94030981339026198       0.35517950046565150      -0.23901713851188389       0.65604789100140792     
  0.32472402417000001       0.32472402417000001       0.95504279348482013       0.30618232522623406      -0.23875951762448955       0.67055122580204396     
  0.35355339059000002       0.35355339059000002       0.96942705527063400       0.25717894047256901      -0.23012787569469176       0.68481606632049130     
  0.38020298279999998       0.38020298279999998       0.98293953270181145       0.20947894439835768      -0.21325394042393631       0.69832005907859296     
  0.40450849718999998       0.40450849718999998       0.99503023906748644       0.16437181566111014      -0.18867779527422121       0.71050295140840125     
  0.42632008218000000       0.42632008218000000        1.0051570295411218       0.12309032027477167      -0.15754634968526593       0.72080081368212456     
  0.44550326209000002       0.44550326209000002        1.0128721924499853        8.6745078731254963E-002 -0.12190587214186470       0.72873269432838994     
  0.46193976626000000       0.46193976626000000        1.0179748738126702        5.6257162823774069E-002  -8.5045480649157013E-002  0.73405485888002964     
  0.47552825814999999       0.47552825814999999        1.0207289125346624        3.2407379154513638E-002  -5.1464851569483605E-002  0.73698263624490368     
  0.48618496020000002       0.48618496020000002        1.0218687620414695        1.5610297053602363E-002  -2.5768358331420407E-002  0.73821321251693239     
  0.49384417030000000       0.49384417030000000        1.0222121669028814        5.6955136312732621E-003  -1.0414970420730309E-002  0.73856842493330321     
  0.49845866687000001       0.49845866687000001        1.0223177661055878        2.1490125358215942E-003  -3.2931250078267874E-003  0.73866307800637199     
